License plate,Frame no.,Timestamp(seconds)
XS-NB-23,18,1
98-TBB-4,54,4
23-GSX-6,90,7
72-VGX-6,126,10
99-SZG-5,162,13
14-NJX-9,198,16
24-LB-HT,234,19
68-NS-ND,270,22
97-FB-FP,306,25
67-FP-SJ,342,28
96-LKH-9,371,30
96-K-HZV,387,32
56-JTT-5,414,34
88-BB-TS,450,37
56-JTT-5,486,40
ZD-PB-67,522,43
92-GS-VH,558,46
02-BBG-7,594,49
73-PV-HP,630,52
93-PXS-9,666,55
HF-NL-93,709,59
43-HNN-2,738,61
43-JS-RT,774,64
63-HK-HD,809,67
92-LHR-6,846,70
63-HK-HD,882,73
3-VFX-39,918,76
01-XJ-ND,954,79
96-ND-JB,990,82
57-LF-JB,1026,85
VD-020-P,1062,88
5-SXB-74,1101,91
KGF-12-F,1131,94
23-GSR-5,1149,95
23-LJS-R,1167,97
27-LH-TB,1200,100
XH-PN-44,1263,105
V-11-DMJ,1281,106
01-RHD-6,1298,108
0-RH-046,1312,109
KJ-K-LJB,1333,111
BK-FJB-1,1335,111
69-GP-DH,1348,112
69-G-PGD,1359,113
0-NV-TJT,1361,113
64-LJ-GF,1393,116
41-GFZ-8,1433,119
28-RXT-9,1485,123
89-LZ-GX,1529,127
8-94-LZB,1543,128
05-GH-JS,1640,136
13-XT-LX,1670,139
25-TV-KT,1684,140
72-FP-FV,1712,142
